romance_flirting_sexuality	flirting_compliments	200	out/romance_flirting_sexuality__flirting_compliments.csv
romance_flirting_sexuality	crushes_attraction	150	out/romance_flirting_sexuality__crushes_attraction.csv
romance_flirting_sexuality	dating_relationships	150	out/romance_flirting_sexuality__dating_relationships.csv
romance_flirting_sexuality	sexual_performance	100	out/romance_flirting_sexuality__sexual_performance.csv
romance_flirting_sexuality	body_image	100	out/romance_flirting_sexuality__body_image.csv
romance_flirting_sexuality	sexual_health_awareness	100	out/romance_flirting_sexuality__sexual_health_awareness.csv
personal_relationships_life	family_friends	400	out/personal_relationships_life__family_friends.csv
personal_relationships_life	communication_social	400	out/personal_relationships_life__communication_social.csv
personal_relationships_life	self_improvement_motivation	400	out/personal_relationships_life__self_improvement_motivation.csv
personal_relationships_life	emotions_wellbeing	400	out/personal_relationships_life__emotions_wellbeing.csv
personal_relationships_life	general_advice_etiquette	400	out/personal_relationships_life__general_advice_etiquette.csv
health_fitness_wellbeing	common_illnesses_symptoms	360	out/health_fitness_wellbeing__common_illnesses_symptoms.csv
health_fitness_wellbeing	medication_hospitals	360	out/health_fitness_wellbeing__medication_hospitals.csv
health_fitness_wellbeing	nutrition_diet	360	out/health_fitness_wellbeing__nutrition_diet.csv
health_fitness_wellbeing	reproductive_womens_health	360	out/health_fitness_wellbeing__reproductive_womens_health.csv
health_fitness_wellbeing	mental_health_stress	360	out/health_fitness_wellbeing__mental_health_stress.csv
work_career_education	job_applications_interviews	360	out/work_career_education__job_applications_interviews.csv
work_career_education	office_teamwork	360	out/work_career_education__office_teamwork.csv
work_career_education	programming_freelancing	360	out/work_career_education__programming_freelancing.csv
work_career_education	career_growth_training	360	out/work_career_education__career_growth_training.csv
work_career_education	school_exams_teachers	360	out/work_career_education__school_exams_teachers.csv
business_money_hustle	nairobi_hustle	200	out/business_money_hustle__nairobi_hustle.csv
business_money_hustle	small_business	200	out/business_money_hustle__small_business.csv
business_money_hustle	online_gigs_crypto	200	out/business_money_hustle__online_gigs_crypto.csv
business_money_hustle	marketing_customers	200	out/business_money_hustle__marketing_customers.csv
business_money_hustle	saving_budgeting	200	out/business_money_hustle__saving_budgeting.csv
technology_online_life	phones	120	out/technology_online_life__phones.csv
technology_online_life	internet_wifi	120	out/technology_online_life__internet_wifi.csv
technology_online_life	social_media	120	out/technology_online_life__social_media.csv
technology_online_life	apps_updates	120	out/technology_online_life__apps_updates.csv
technology_online_life	AI	120	out/technology_online_life__AI.csv
hobby_leisure_entertainment	music_artists	100	out/hobby_leisure_entertainment__music_artists.csv
hobby_leisure_entertainment	cooking_recipes	100	out/hobby_leisure_entertainment__cooking_recipes.csv
hobby_leisure_entertainment	gaming_streaming	100	out/hobby_leisure_entertainment__gaming_streaming.csv
hobby_leisure_entertainment	tiktok_trends_kenya	100	out/hobby_leisure_entertainment__tiktok_trends_kenya.csv
hobby_leisure_entertainment	diy_crafts	100	out/hobby_leisure_entertainment__diy_crafts.csv
sports_betting	football_banter	130	out/sports_betting__football_banter.csv
sports_betting	predictions_premier_league	130	out/sports_betting__predictions_premier_league.csv
sports_betting	online_gambling_kenya	70	out/sports_betting__online_gambling_kenya.csv
sports_betting	sport_betting_tips	70	out/sports_betting__sport_betting_tips.csv
religion_morality	prayer_faith	100	out/religion_morality__prayer_faith.csv
religion_morality	life_lessons	100	out/religion_morality__life_lessons.csv
religion_morality	church_fellowship	100	out/religion_morality__church_fellowship.csv
travel_transport_street	matatus_boda	100	out/travel_transport_street__matatus_boda.csv
travel_transport_street	traffic_directions	100	out/travel_transport_street__traffic_directions.csv
travel_transport_street	city_rural	100	out/travel_transport_street__city_rural.csv
travel_transport_street	street_vendors	100	out/travel_transport_street__street_vendors.csv
misc_general_chat	weather_daily	100	out/misc_general_chat__weather_daily.csv
misc_general_chat	random_questions	100	out/misc_general_chat__random_questions.csv
misc_general_chat	funny_stories	100	out/misc_general_chat__funny_stories.csv
misc_general_chat	gossip_news	100	out/misc_general_chat__gossip_news.csv
